feature
Convergence_score
GGN
G_score
LUNG_CANCER_GDNA_score
LUNG_CANCER_TISSUE_score
L_score
N_score
REF_score
SN
TRBJ2-6
TRBV12-4
TRBV18
TRBV19
TRBV2
TRBV27
TRBV28
TRBV3-1
TRBV5-1
TRBV5-4
TRBV5-5
TRBV7-8
TRBV9
W_score
group_freq_5
inverseSimpsonIndex_mean
normalizedShannonWienerIndex_mean
pSN
quit_somking
shannonWienerIndex_mean
size(mm)
somking
